Guanacaste;Tilarán;Tierras Morenas;1;2;
Guanacaste;Tilarán;Tilarán;10;6;4
Guanacaste;Tilarán;Tronadora;1;;
Heredia;Barva;Barva;5;6;7
Heredia;Barva;San José de la Montaña;4;4;1
Heredia;Barva;San Pablo;9;8;3
Heredia;Barva;San Pedro;12;11;14
Heredia;Barva;San Roque;3;8;7
Heredia;Barva;Santa Lucía;8;8;1
Heredia;Belén;Asunción;1;;1
Heredia;Belén;Ribera;4;6;3
Heredia;Belén;San Antonio;7;8;3
Heredia;Flores;Barrantes;3;;
Heredia;Flores;Llorente;4;6;5
Heredia;Flores;San Joaquín;17;19;5
Heredia;Heredia;Heredia;47;54;24
Heredia;Heredia;Mercedes;35;37;16
Heredia;Heredia;San Francisco;118;141;67
Heredia;Heredia;Ulloa;37;48;20
Heredia;Heredia;Varablanca;;1;1
Heredia;San Isidro;Concepción;1;3;
Heredia;San Isidro;San Francisco;4;1;6
Heredia;San Isidro;San Isidro;13;9;2
Heredia;San Isidro;San José;3;5;2
Heredia;San Pablo;Rincón de Sabanilla;4;7;2
Heredia;San Pablo;San Pablo;37;42;14
Heredia;San Rafael;Angeles;11;15;9
Heredia;San Rafael;Concepción;5;4;5
Heredia;San Rafael;San Josecito;17;24;20
Heredia;San Rafael;San Rafael;15;13;8
Heredia;San Rafael;Santiago;3;9;8
Heredia;Santa Bárbara;Jesús;5;7;6
Heredia;Santa Bárbara;Puraba;3;2;
Heredia;Santa Bárbara;San Juan;9;3;3
Heredia;Santa Bárbara;San Pedro;4;4;3
Heredia;Santa Bárbara;Santa Barbara;7;8;7
Heredia;Santa Bárbara;Santo Domingo;2;;
Heredia;Santo Domingo;Para;6;1;4
Heredia;Santo Domingo;Paracito;2;3;1
Heredia;Santo Domingo;San Miguel;5;9;3
Heredia;Santo Domingo;San Vicente;5;3;3
Heredia;Santo Domingo;Santa Rosa;5;4;5
Heredia;Santo Domingo;Santo Domingo;13;14;2
Heredia;Santo Domingo;Santo Tomas;5;7;3
Heredia;Santo Domingo;Tures;5;14;8
Heredia;Sarapiquí;Cureña;1;;
Heredia;Sarapiquí;Horquetas;34;23;16
Heredia;Sarapiquí;La Virgen;17;16;10
Heredia;Sarapiquí;Puerto Viejo;26;62;22
Limon;Guacimo;Duacari;10;13;1
Limon;Guacimo;Guacimo;26;37;9
Limon;Guacimo;Mercedes;;1;
Limon;Guacimo;Pocora;7;9;1
Limon;Guacimo;Río Jiménez;15;4;8
Limon;Limón;Limón;179;198;84
Limon;Limón;Matama;15;23;8
Limon;Limón;Río Blanco;10;3;7
Limon;Limón;Valle la Estrella;29;27;6
Limon;Matina;Batan;31;45;17
Limon;Matina;Carrandi;17;16;4
Limon;Matina;Matina;4;22;10
Limon;Pococí;Cariari;66;81;26
Limon;Pococí;Colorado;11;1;
Limon;Pococí;Guapiles;63;69;36
Limon;Pococí;Jiménez;14;27;8
Limon;Pococí;La Colonia;2;6;5
Limon;Pococí;Rita;30;33;15
Limon;Pococí;Roxana;26;25;3
Limon;Siquirres;Alegría;3;8;2
Limon;Siquirres;Cairo;14;8;11
Limon;Siquirres;Florida;;5;
Limon;Siquirres;Germania;1;6;
Limon;Siquirres;Pacuarito;11;11;3
Limon;Siquirres;Siquirres;46;76;31
Limon;Talamanca;Bratsi;10;15;12
Limon;Talamanca;Cahuita;13;31;7
Limon;Talamanca;Sixaola;12;14;4
Limon;Talamanca;Telire;5;3;2
Puntarenas;Aguirre;Naranjito;;4;1
Puntarenas;Aguirre;Quepos;32;38;15
Puntarenas;Aguirre;Savegre;3;8;3
Puntarenas;Buenos Aires;Biolley;2;2;
Puntarenas;Buenos Aires;Boruca;6;2;
Puntarenas;Buenos Aires;Brunka;4;2;3
Puntarenas;Buenos Aires;Buenos Aires;20;28;8
Puntarenas;Buenos Aires;Chánguena;;1;
